target;source;distance
chest;chest;0
chest;isic;2
chest;kimia;3
chest;pcam-small;4
chest;pcam-middle;4
chest;sti10;6
chest;stl10;6
chest;textures;6
chest;imagenet;6
isic;chest;2
isic;isic;0
isic;kimia;3
isic;pcam-small;3
isic;pcam-middle;3
isic;sti10;5
isic;stl10;5
isic;textures;5
isic;imagenet;5
pcam-middle;chest;4
pcam-middle;isic;3
pcam-middle;kimia;0
pcam-middle;pcam-small;0
pcam-middle;pcam-middle;0
pcam-middle;sti10;3
pcam-middle;stl10;4
pcam-middle;textures;3
pcam-middle;imagenet;4